,headline,source,urls,text
0,UK to roll out COVID-19 antiviral drug trial this month -Health Security Agency,reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/uk-roll-out-covid-19-antiviral-drug-trial-this-month-health-security-agency-2021-11-07/,"LONDON, Nov 7 (Reuters) - Britain will start to roll out Merck's (MRK.N) molnupiravir COVID-19 antiviral pill through a drug trial later this month, Susan Hopkins, Chief Medical Adviser at the UK Health Security Agency said on Sunday."
1,UK's Truss to visit southeast Asia to boost economic and security ties,reuters,https://www.reuters.com/world/uk/uks-truss-visit-southeast-asia-boost-economic-security-ties-2021-11-07/,"LONDON, Nov 7 (Reuters) - British Foreign Secretary Liz Truss will travel to Malaysia on Sunday as part of a week-long visit to southeast Asia aimed at deepening economic and security ties in the region, her office said."
2,UB40 founding member Astro dies after short illness,reuters,https://www.reuters.com/world/uk/ub40-founding-member-astro-dies-after-short-illness-2021-11-07/,"LONDON, Nov 7 (Reuters) - One of the founding members of British reggae band UB40, Terence Wilson, has died after a short illness, his band has announced."
3,Big crowds rally in rainy Glasgow for COP26 climate action,reuters,https://www.reuters.com/business/cop/thousands-rally-rainy-glasgow-cop26-climate-action-2021-11-06/,"GLASGOW, Nov 6 (Reuters) - Tens of thousands of protesters marched on Saturday through rainy downtown Glasgow, and in many other cities around the world, to demand bolder action at the U.N. climate conference."
4,"UK reports 155 new COVID deaths, 30,693 cases on Saturday",reuters,https://www.reuters.com/world/uk/uk-reports-155-new-covid-deaths-30693-cases-saturday-2021-11-06/,"LONDON, Nov 6 (Reuters) - Britain reported 155 deaths on Saturday of people who had tested positive for COVID-19 within the past 28 days, and a further 30,693 new infections."
5,"Ex-British PM calls actions of Johnson's government ""politically corrupt""",reuters,https://www.reuters.com/world/uk/uk-johnsons-handling-corruption-row-shameful-ex-pm-major-says-2021-11-06/,"LONDON, Nov 6 (Reuters) - Former British Prime Minister John Major on Saturday attacked fellow Conservative Boris Johnson's handling of a corruption row, saying the government's behaviour was arrogant, broke the law and was ""politically corrupt""."
6,EU warns Britain: Don't press the emergency Brexit button,reuters,https://www.reuters.com/world/uk/growing-expectation-uk-will-trigger-article-16-over-brexit-dispute-rte-2021-11-05/,"LONDON/BRUSSELS, Nov 5 (Reuters) - The European Union said on Friday that Britain had made no move to seek a compromise on post-Brexit trade with Northern Ireland and cautioned London against triggering emergency unilateral provisions in the Brexit deal."
7,Crunch time in Britain as even beloved crisps in short supply,reuters,https://www.reuters.com/business/retail-consumer/crunch-time-britain-even-beloved-crisps-short-supply-2021-11-05/,"LONDON, Nov 5 (Reuters) - In Britain, there is even a shortage of crunch."
8,Gene linked to doubling risk of COVID-19 death found by UK scientists,reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/gene-linked-doubling-risk-covid-19-death-found-by-uk-scientists-2021-11-05/,"Nov 5 (Reuters) - British scientists have identified a version of a gene that may be associated with double the risk of lung failure from COVID-19, a finding that provides new insights into why some people are more susceptible than othersto severe illness and which opens possibilities for targeted medicine."
9,Britain allows early booking of booster shots to speed up rollout,reuters,https://www.reuters.com/world/uk/britain-allows-early-booking-booster-shots-speed-up-rollout-2021-11-06/,"LONDON, Nov 6 (Reuters) - Britain's health ministry on Saturday said it would open up bookings for booster shots a month before people were eligible to receive the shots to help speed up the rollout ahead of the challenging winter months."
10,"After market mayhem, BoE officials say rate hike still on table",reuters,https://www.reuters.com/world/uk/bank-englands-mpc-sees-some-need-act-rates-pill-2021-11-05/,"LONDON, Nov 5 (Reuters) - Bank of England officials sought to reassure investors on Friday that they were sticking to plans to raise interest rates, a day after the central bank confounded widespread market expectations of a rate hike."
